8.6,8.23,8.24,8.24
2597.3,2638.2,2643.2,2643.2
3363.6,3397.4,3401.3,3401.3
1184.4,1188.1,1188.2,1188.2
1137.2,1143.8,1144.1,1144.1
1125.6,1129.1,1134.6,1134.6
1201.1,1204.2,1204.3,1204.3
1066.2,1069.2,1069.4,1069.4
1015.6,1024.6,1025.1,1025.1
1070.6,1073.6,1073.8,1073.8
398.0,399.4,399.5,399.5
243.9,243.9,243.9,243.9
235.3,235.3,235.3,235.3
321.6,321.6,321.6,321.6
274.8,274.8,274.8,274.8
,,,
,,,
13000,13000,13000,13000
66,66,66,66
,,,
,,,
,,,
,,,
,,,
,,,
484.1,486.9,487.6,487.6
134.8,135.6,135.6,135.6
296.6,299.9,300.1,300.3
258.7,264.4,264.9,264.9
215000.0,222000.0,222000.0,222000.0
4.8,4.8,4.8,4.8
227.7,236.8,238.1,238.1
abc,abd,11.4,11.4
abd,abd,608.5,608.5
